question_number,question,correct_answer,source_folder,ai_answer_20260725_005651,ai_answer_20260725_011226,ai_answer_20260725_120724,ai_answer_20260725_132248,ai_answer_20260725_132835
414,"Trong tài liệu Public_064, có bao nhiêu độ đo được quyết định chỉ dựa trên câu lệnh rẽ nhánh; đó là những độ đo nào?",B,train_fix,A,A,A,A,A
415,"Nếu một đơn hàng có tổng tiền trước thuế khác với tổng tiền chi tiết, hệ thống sẽ xử lý thế nào?",B,train_fix,B,B,B,B,B
416,Thuật toán mật mã nào bắt buộc áp dụng cho chữ ký số theo quy định kỹ thuật trong Thông tư?,B,train_fix,B,B,"A,B",A,B
417,"Nếu một ngày có tỷ lệ thu công nợ = 99.85%, hệ thống sẽ hiển thị đánh giá thế nào?",B,train_fix,B,B,B,B,A
418,"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).",A,train_fix,A,A,A,A,A
419,Giả định cơ bản nào được áp dụng trong kiểm thử giá trị biên?,C,train_fix,C,C,C,C,C
420,"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",D,train_fix,D,A,D,D,D
421,Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,C,train_fix,C,C,C,C,C
422,"Trong ứng dụng phân loại văn bản, hai vấn đề chủ yếu cần giải quyết khi sử dụng phân loại Naive Bayes là gì?",B,train_fix,"B,D",B,"B,C",B,B
423,Lợi ích cụ thể nào của bản vẽ hoàn công giúp nhà thầu kiểm soát hiệu quả sự khác biệt giữa thiết kế ban đầu và thực tế thi công của một dự án?,B,train_fix,B,B,B,B,B
424,Kỹ thuật nào cho phép robot học từ phản hồi môi trường để tối ưu hành động?,B,train_fix,B,B,B,"B,C",B
425,"Từ tài liệu Public_193, những kiến thức và kỹ năng nào là cần thiết cho một kỹ sư DevOps khi tập trung vào một giai đoạn cụ thể trong roadmap DevOps?",B,train_fix,B,B,"A,B,C","A,B",A
426,"Nếu một công ty muốn phát triển ứng dụng thương mại điện tử đa nền tảng, yêu cầu giao diện đẹp mắt, tốc độ cao, và khả năng cập nhật nhanh khi thay đổi giao diện, vì sao họ nên chọn Dart + Flutter thay vì chỉ dùng JavaScript?",C,train_fix,C,C,C,C,C
427,Điểm khác biệt lớn nhất của pin thể rắn so với pin lithium-ion truyền thống là gì?,B,train_fix,B,B,B,B,B
428,Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,A,train_fix,A,A,A,A,A
429,"Dựa vào quy định về tín chỉ được nêu trong tài liệu Public_263, nếu sinh viên đang chọn tổng 9 tín chỉ, cần thêm tối thiểu bao nhiêu tín chỉ để nút Lưu được bật?",B,train_fix,X,B,A,B,A
430,"Nếu một chuỗi có độ dài quá lớn gây ra vấn đề gradient vanish/explode, mô hình nào trong tài liệu Public_109 được thiết kế để giải quyết vấn đề này?",B,train_fix,B,B,B,B,B
431,"Trong báo cáo KPI công nợ COD, chỉ số tỷ lệ thu công nợ ngày được tính ra sao và ngưỡng bao nhiêu phần trăm thì được đánh giá “Đạt”?",C,train_fix,B,A,"A,B,C",A,B
432,Hãy mô tả đầy đủ ba bước trong quá trình bắt tay TCP và ghép đúng từng gói tin với ý nghĩa của nó.,A,train_fix,A,A,A,A,A
433,"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",B,train_fix,B,B,B,B,B
434,"Theo tài liệu Public_111, hai thành phần cơ bản của mạng Bayes là gì?",D,train_fix,D,D,D,D,D
435,"Theo các nguồn mà Mitre trích dẫn trong tài liệu Public_274, Nhóm Sandworm bắt đầu hoạt động vào năm nào?",C,train_fix,C,C,C,C,C
436,Thách thức lớn của pin Li-S là gì?,A,train_fix,A,A,A,A,A
437,"Theo tài liệu, loại vi rút nào lây nhiễm vào cung khởi động (boot sector) của đĩa?


",C,train_fix,C,C,C,C,C
438,"Theo tài liệu Public_006, các nhiệm vụ và quyền hạn của các thiết chế quản trị đại học ở Việt Nam được quy định trong luật nào?",B,train_fix,B,B,B,B,B
439,Quá trình thực hiện một giao dịch dựa trên SET gồm mấy bước,D,train_fix,B,A,B,B,B
440,GraphQL được coi là một ngôn ngữ gì trong lĩnh vực phát triển API?,C,train_fix,C,C,C,C,C
441,"Trong nghiên cứu này, phần mềm diệt virus nào được nhận xét là có hiệu năng tốt nhất trong việc phát hiện các kỹ thuật evasion (theo tác giả)?",B,train_fix,B,B,B,B,B
442,"Phân tích nguyên lý hoạt động, nhiên liệu, ưu điểm và các công nghệ lò phản ứng nhiệt hạch, đồng thời nêu các thách thức kỹ thuật – kinh tế trong thương mại hóa.",A,train_fix,A,A,A,A,A
443,"Nếu sau khi cấu hình tài khoản SIP Account trên Zoiper mà phần mềm không báo trạng thái online, bước hợp lý nhất cần làm là gì?",B,train_fix,B,B,B,B,B
444,"Theo tài liệu Public_059, đâu không phải là một hình thức giao diện giữa nhiều module?",B,train_fix,B,B,"B,C,D",B,B
445,"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",D,train_fix,D,D,D,D,D
446,Tóm tắt các nội dung chính của văn bản này,D,train_fix,D,D,"A,D",D,D
447,Tại sao HPC cần thiết cho mô phỏng khí hậu toàn cầu?,B,train_fix,B,B,B,B,B
448,Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,D,train_fix,"B,D",D,A,D,D
449,"Trong Git, hành động nào bắt buộc phải thực hiện trước Commit để thay đổi có thể được lưu trữ vào lịch sử dự án?",B,train_fix,B,B,B,B,B
450,"Nếu một nhóm phát triển muốn xem xét thay đổi từ repository từ xa trước khi quyết định có nên hợp nhất chúng vào nhánh chính hay không, theo văn bản, họ nên sử dụng thao tác nào, và lý do?",B,train_fix,B,B,B,B,B
451,Thách thức chính cản trở thương mại hóa pin thể rắn là gì?,D,train_fix,D,D,D,D,D
452,Khái quát các trường hợp sử dụng của MongoDB,D,train_fix,D,D,D,D,D
453,"Theo tài liệu Public_174, trong các bước ETL, hoạt động nào chịu trách nhiệm làm sạch, chống trùng lặp và chuẩn hóa dữ liệu?",B,train_fix,B,B,B,B,B
454,"Theo tiêu chuẩn trong tài liệu Public_007, “khiếu nại” được định nghĩa như thế nào?",C,train_fix,C,C,C,C,C
455,"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",C,train_fix,C,C,C,C,C
456,"Nếu ảnh gốc có 3 kênh RGB với giá trị tại 1 điểm ảnh lần lượt là (120, 90, 60), thì giá trị Intensity Map theo định nghĩa trong HVI là bao nhiêu?",A,train_fix,A,B,A,X,D
457,"Theo tài liệu Public_194, MongoDB là gì?",B,train_fix,B,B,B,B,B
458,Tập S biểu diễn các mẫu hành vi hoặc đặc tính động lực học như thế nào?,A,train_fix,A,C,"A,C",A,C
459,"Trong giai đoạn tiền xử lý dữ liệu hình ảnh cho hệ thống thị giác máy tính, kỹ thuật nào giúp giảm nhiễu và tăng độ tương phản?",C,train_fix,C,C,C,C,C
460,"Từ tài liệu Public_081, những ứng dụng nào là điểm mạnh của GNN trong khoa học vật liệu?",C,train_fix,C,C,C,C,C
461,"Dựa trên tài liệu `Public_251`, khi một tổ chức đang sử dụng hệ thống tường lửa (firewall) và CDN (Content Delivery Network) phát hiện có một cuộc tấn công DDoS nhắm vào server với lưu lượng gói tin ACK tăng đột biến mà tường lửa không thể lọc bỏ hoàn toàn, nguyên nhân chính là gì và cách giải quyết hiệu quả nhất là gì?",C,train_fix,C,C,C,C,C
462,"Theo bài báo, (1) phạm vi evasion ratios của các công cụ được khảo sát là bao nhiêu, và (2) công cụ nào ghi nhận tỷ lệ evasion 0% trong thí nghiệm?",A,train_fix,A,A,"A,D",A,A
463,"Dựa vào tài liệu Public_166, hãy xác định ưu điểm chính và nhược điểm nổi bật của phương pháp không chính thức được đề cập.",B,train_fix,B,B,B,B,B
464,Đâu không phải một yếu tố giúp xác định lát cắt được đề cập trong tài liệu Public_065?,D,train_fix,A,D,D,A,A
465,"Trong chiến dịch năm 2016, đối thủ bị quan sát thấy đã sử dụng một tập lệnh VBS trong quá trình hoạt động. Tên của tệp VBS đó là gì?",C,train_fix,C,C,C,C,C
466,"Trong quy trình khai báo mã KH COD hàng ngày, khi khách hàng chưa xác thực OTP, hệ thống xử lý yêu cầu ra sao và trạng thái thay đổi thế nào nếu sau 72 giờ vẫn chưa xác thực?",B,train_fix,B,B,"B,D",B,B
467,Cấu hình hạ tầng mạng nào cần thiết để đảm bảo độ trễ thấp và băng thông cao cho trải nghiệm thực tế ảo (VR) mượt mà?,A,train_fix,A,A,A,A,A
468,"Dựa trên thông tin về quantum supremacy của Google và IBM trong tài liệu `Public_199`, nếu một công ty khác tuyên bố có 130 qubit, số qubit này gấp bao nhiêu lần số qubit của Google và hơn số qubit của IBM bao nhiêu?",A,train_fix,A,A,"A,B",A,A
469,Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,A,train_fix,A,A,A,A,A
470,Tổng quan về SQL Server trong tài liệu Public_186,A,train_fix,A,A,"A,C",A,A
471,"Trong tài liệu Public_120, cho điểm X1 = (5, 2, 4); X2 = (3, 8, 1). Tính khoảng cách Euclidean của chúng dựa trên công thức trong phần MLkNN.",A,train_fix,A,B,A,C,C
472,"Trong lĩnh vực kiến trúc và xây dựng, blueprint được hiểu là bản thiết kế công trình, và trong lĩnh vực công nghệ thông tin, blueprint thường được sử dụng để mô tả điều gì?",B,train_fix,B,B,B,B,B
473,Tóm tắt Kubectl trên Windows,B,train_fix,A,B,"A,B,D",A,A
474,"Nếu một dầm dây dẫn có dòng điện 2000 mA chạy qua, giá trị này tương ứng với bao nhiêu ampe?",C,train_fix,C,C,C,C,C
475,Đặc điểm đặc biệt của thuộc tính được chọn C(max) trong Naive Bayes theo Public_112 là gì?,A,train_fix,A,A,A,A,A
476,"Theo tài liệu, chuỗi giá trị băm đầu ra của MD5 có kích thước bao nhiêu bit?",A,train_fix,A,A,A,A,A
477,"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",B,train_fix,B,B,B,B,B
478,RPA (Robotic Process Automation) khác với AI ở điểm nào?,A,train_fix,A,A,A,A,A
479,CIDNet sử dụng kiến trúc mạng nào để xử lý ảnh ánh sáng yếu?,B,train_fix,B,B,B,B,B
480,Kỹ năng mềm quan trọng nào kiến trúc sư đám mây cần có để truyền đạt các khái niệm kỹ thuật phức tạp?,B,train_fix,B,B,B,B,B
481,Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,A,train_fix,A,A,A,A,A
482,Ba thuộc tính cốt lõi cần bảo vệ trong an toàn thông tin là gì?,A,train_fix,A,A,A,A,A
483,Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,B,train_fix,B,B,B,B,B
484,Thách thức chính trong việc triển khai AI quản lý năng lượng tái tạo là gì?,A,train_fix,A,A,A,A,A
485,Đoạn code ngắn sau định nghĩa giao diện hàm (function interface) như thế nào?,A,train_fix,A,A,A,A,A
486,Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,B,train_fix,"B,C",B,"B,C",B,B
487,Khi mô tả hệ thống bằng ngôn ngữ tự nhiên thì ta cần thực hiện bao nhiêu bước,C,train_fix,C,A,C,A,X
488,"Trong hệ thống quản lý hạn mức, hạn mức áp dụng của một tuyến bưu tá được xác định theo nguyên tắc nào, và khi giá trị phân bổ thêm vượt ngưỡng thì hệ thống xử lý ra sao?",B,train_fix,B,B,"A,B",B,B
489,"Trong tài liệu Public_036, đâu không phải một ứng dụng của Image segmentation được đề cập?",D,train_fix,C,C,C,C,C
490,"Thuật toán nào được sử dụng cho: (1) Tính xác suất chuỗi quan sát, (2) Tìm chuỗi trạng thái tối ưu?",D,train_fix,D,D,D,D,D
491,Đâu là cốt lõi của thuật toán đệ quy?,C,train_fix,"A,C",C,"A,C","A,C",C
492,ISO 15189:2022 áp dụng cho đối tượng nào?,B,train_fix,B,B,B,B,B
493,"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",C,train_fix,C,C,C,"A,B,C,D",A
494,Điện trở loại than ép có nhược điểm chính nào?,B,train_fix,"B,C",B,"B,C","B,C",B
495,Ứng dụng nào tận dụng siêu tụ để thu hồi năng lượng phanh?,A,train_fix,A,A,A,A,A
496,Thách thức quan trọng nhất trong sản xuất chip quang?,A,train_fix,A,A,"A,C",A,A
497,Nghiệm w tối ưu (Fisher) có thể chọn tỉ lệ theo biểu thức nào?,A,train_fix,"C,D",C,"C,D",C,C
498,Logistic regression có đầu ra là gì?,B,train_fix,B,B,B,B,B
499,Phương pháp truyền thống nào đã trở nên kém hiệu quả trước tấn công mạng hiện đại?,A,train_fix,A,A,A,A,A
500,"Theo tài liệu Public_171, phương pháp tạo ra blueprint truyền thống là gì?",B,train_fix,B,B,B,B,B
501,"Theo tài liệu Public_049, khái niệm được dùng để đại diện tập xác định của một biến là gì?",A,train_fix,A,A,C,A,A
502,Hai thuật toán quan trọng trong Linear-Chain CRFs lần lượt được dùng cho huấn luyện và suy luận là gì?,A,train_fix,A,A,A,A,A
503,Biến forward αt(i) trong thuật toán Forward biểu diễn điều gì?,A,train_fix,A,A,A,A,A
504,Chìa khóa giúp LSTM truyền tải thông tin xuyên suốt nhiều bước thời gian là gì?,C,train_fix,C,C,C,C,C
505,"Theo tài liệu Public_064, có tất cả bao nhiêu độ đo kiểm thử?",C,train_fix,C,B,C,C,B
506,Bảng quyết định gồm hai yếu tố chính có tên là?,A,train_fix,A,A,A,A,A
507,Hệ thống PLATO được phát triển vào thập niên nào?,B,train_fix,A,A,A,A,B
508,Phương pháp chuyển đổi nhị phân được sử dụng trong các thuật toán MLL nào (được nhắc đến trong tài liệu)?,B,train_fix,"B,D",A,"A,B,C,D",A,A
509,"Theo tài liệu Public_160, DSA có ưu điểm nổi bật nào so với RSA?",B,train_fix,B,B,"B,C",B,B
510,Nội dung chính của tài liệu Public_116 là gì?,C,train_fix,C,C,C,C,C
511,"Theo mô hình PGP đảm bảo cả tính bí mật và xác thực, nếu bên gửi không ký thông điệp trước khi mã hóa, hệ quả nào có thể xảy ra?",A,train_fix,A,A,A,A,A
512,Khẳng định nào dưới đây không đúng với bối cảnh bài toán trong tài liệu Public_037?,B,train_fix,B,B,"B,C,D",B,B
513,Chuẩn-2 (spectral norm) của ma trận A được định nghĩa tương đương với đại lượng nào?,B,train_fix,B,B,B,B,B
514,"Dựa trên nội dung của tài liệu Public_170, nhận định tổng quan nào có thể được rút ra về quy trình sử dụng Tableau cơ bản hiệu quả?",B,train_fix,B,B,B,B,B
515,Q-Learning và SARSA khác nhau chủ yếu ở điểm nào?,C,train_fix,C,C,C,C,C
516,"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",C,train_fix,C,C,C,C,C
517,"Theo tài liệu, trong mô hình phòng vệ theo chiều sâu (Defence in Depth), yếu tố nào được coi là lớp bảo vệ đầu tiên?


",A,train_fix,A,A,A,A,A
518,Thành phần nào đảm bảo làm nổi bật các khác biệt mức xám xuất hiện thường xuyên trong thuật toán LDR?,B,train_fix,B,B,B,B,B
519,"Kiểm thử tự động là gì, các nguyên tắc cơ bản và lợi ích chính của nó?",A,train_fix,A,A,"A,D","A,D",A
520,Lợi ích lớn nhất của Generative AI trong thiết kế thuốc là gì?,B,train_fix,B,B,B,B,B
521,"Hãy xác định ba tác giả của giải thuật RSA và năm phát minh RSA.



",A,train_fix,A,A,A,A,A
522,"Theo tài liệu Public_038, câu output của mô hình seq2seq sẽ có thêm mấy token và đó là những token nào?",D,train_fix,D,D,D,D,D
523,Đơn vị chuẩn của độ dài trong hệ SI hiện nay được định nghĩa dựa trên:,C,train_fix,C,C,C,C,C
524,"Theo tài liệu Public_175, người dùng cần có những điều kiện cơ bản nào để sử dụng Zoiper?",B,train_fix,B,B,B,B,B
525,"Theo văn bản, Flutter có những ưu điểm gì khi so sánh với các framework khác, và đồng thời nó còn tồn tại những hạn chế nào?","A,D",train_fix,"A,D",A,"A,D",A,A
526,"Khi thu thập dữ liệu với tần suất cao (high-frequency), thách thức lớn nhất thường là gì?",B,train_fix,B,B,B,B,B
527,"Những công cụ AI nào đã thực sự được phát triển trong giáo dục từ những năm 2000 đến nay, và chúng có vai trò gì?",B,train_fix,B,B,"B,D","B,D",B
528,CRFs mô hình hóa loại xác suất nào?,C,train_fix,C,C,"C,D",C,C
529,"Mô tả kiến trúc và nguyên lý của máy tính neuromorphic lấy cảm hứng từ não người, so sánh với kiến trúc Von Neumann và nêu ứng dụng AI.",A,train_fix,A,A,A,A,A
530,Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,A,train_fix,D,D,D,X,X
531,Thách thức nào đặc thù khi huấn luyện AI cho an ninh mạng?,D,train_fix,D,D,D,D,D
532,Thuật toán BFS có độ phức tạp và yêu cầu bộ nhớ như thế nào?,B,train_fix,B,B,B,B,B
533,"Nếu phòng xét nghiệm có 500 mẫu xét nghiệm trong tháng, trong đó có 25 mẫu bị từ chối, tỷ lệ từ chối mẫu là bao nhiêu?",A,train_fix,A,A,A,A,A
534,Điện dung ký hiệu trên tụ gốm thường được ghi theo dạng nào?,B,train_fix,B,B,B,B,B
535,"Theo Thông tư, “cặp khóa bất đối xứng” trong phần mềm ký số bao gồm những thành phần nào?",B,train_fix,B,B,B,B,B
536,"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",A,train_fix,A,A,A,A,A
537,"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",C,train_fix,C,C,C,C,C
538,Hệ điều hành có nhiệm vụ gì?,B,train_fix,B,B,B,B,B
539,"Theo tài liệu Public_178, dự án được xem là thành công và thất bại dựa trên những tiêu chí nào?",D,train_fix,D,D,"B,D","B,D",B
540,"Theo tài liệu Public_034, photodiode hoạt động hiệu quả nhất khi được phân cực như thế nào?",A,train_fix,A,A,A,A,A
541,Tiêu chuẩn TCVN xxxx:202x được xây dựng dựa trên tiêu chuẩn quốc tế nào?,B,train_fix,A,C,"A,C","A,C,D",C
542,"Nếu hệ thống sử dụng khóa 64 bit, không gian khóa là 2⁶⁴. Giả sử một kẻ tấn công có thể thử 1 tỉ khóa/giây, thời gian cần để thử hết toàn bộ không gian khóa gần bằng bao nhiêu?",B,train_fix,B,B,B,B,B
543,Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,A,train_fix,"C,D","A,B,C,D","A,C,D","A,B,C,D",C
544,Nội dung chính của tài liệu Public_011 là gì?,B,train_fix,B,B,B,B,B
545,Phương pháp đánh giá các mô hình phân lớp đa nhãn (MLL) được nhắc tới trong tài liệu là gì?,C,train_fix,C,C,C,C,C
546,Dải tần nào sẽ được khai thác chủ yếu trong 6G?,C,train_fix,C,C,C,C,C
547,"Khi tạo nhóm làm việc mới trong Tableau, sau khi nhập tên nhóm, người dùng cần thao tác gì tiếp theo?",B,train_fix,B,B,"A,B",B,B
548,"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",C,train_fix,C,C,C,C,C
549,Hãng xe nào đã thương mại hóa xe hơi chạy pin nhiên liệu hydro?,B,train_fix,B,B,B,B,B
550,Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,B,train_fix,B,B,B,B,B
551,"Theo tài liệu Public_036, mạng U-Net có những hạn chế hoặc điểm yếu nào khi áp dụng trong bài toán Image segmentation?",A,train_fix,A,A,"A,C,D",A,A
552,Phương pháp chuyển đổi nhị phân (BR) được hiểu như thế nào?,C,train_fix,C,C,"A,B,C","A,C",A
553,Vì sao quy chuẩn lại cấm sử dụng nhóm amiăng amfibôn trong sản xuất vật liệu xây dựng?,B,train_fix,B,B,B,B,B
554,"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",B,train_fix,B,B,B,B,B
555,Quản lý dự án giúp doanh nghiệp đạt được mục tiêu chiến lược như thế nào?,B,train_fix,B,B,B,B,B
556,"Theo tài liệu, phát hiện dựa trên bất thường cần giai đoạn huấn luyện để xây dựng hồ sơ hành vi bình thường. Nếu giai đoạn huấn luyện thu thập dữ liệu chưa đủ dài hoặc không đại diện, hậu quả nào có thể xảy ra?",B,train_fix,B,B,"B,D",B,B
557,"Theo số liệu năm 2012 từ Cơ sở dữ liệu lỗ hổng quốc gia Hoa Kỳ, lỗ hổng bảo mật được phát hiện nhiều nhất nằm ở thành phần nào của hệ thống?",C,train_fix,C,C,C,C,C
558,Người sáng lập PHP là ai và phiên bản nào ra mắt vào năm 1998?,C,train_fix,C,C,C,C,C
559,"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",C,train_fix,A,B,B,B,B
560,Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,A,train_fix,A,A,A,A,A
561,Theo một blog của TrendMicro. Phần mềm độc hại nào được họ mô tả là một ‘multi-modular backdoor… using a custom protocol protected by Transport Layer Security’?,D,train_fix,B,B,"A,B",A,A
562,Kafka ban đầu được phát triển bởi ai?,B,train_fix,B,B,"B,D",B,B
563,Bit là viết tắt của từ gì?,A,train_fix,A,A,A,A,A
564,Kiểm thử giá trị biên tổ hợp có công thức số ca kiểm thử là hàm số như nào?,D,train_fix,D,A,B,B,B
565,Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,C,train_fix,C,C,C,C,C
566,Các yếu tố nào được sử dụng để tính bản đồ trọng số (weight map) trong bước multi-exposure fusion?,D,train_fix,D,D,D,D,D
567,"Trong tài liệu Public_048, có bao nhiêu phương pháp tăng cường dữ liệu đã được dùng và gồm những thao tác nào?",B,train_fix,B,C,B,B,B
568,"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",C,train_fix,C,C,C,C,C
569,Ưu điểm lớn nhất của pin natri-ion so với pin lithium-ion là gì?,B,train_fix,B,B,B,B,B
570,"Theo tài liệu Public_046, khái niệm tiếng Việt cho bias và variance là gì?",C,train_fix,C,C,C,C,C
571,Mục đích chính của các bước kiểm tra dữ liệu đơn hàng bán trong FICO nhằm đảm bảo tính chính xác tài chính là gì?,A,train_fix,A,A,A,A,A
572,Lợi ích chính của vectorization là gì,A,train_fix,A,A,A,A,A
573,Tóm tắt nội dung chính của văn bản,A,train_fix,A,A,A,A,A
574,Tổng quan về các tính năng và nguyên lý hoạt động của Ubuntu,B,train_fix,B,B,B,B,B
575,Tài liệu Public_057 mô tả những cách biểu diễn đồ thị nào?,B,train_fix,"A,C,D","A,C,D","A,D","A,D","A,D"
576,"Sử dụng thông tin từ tài liệu Public_126, hãy cho biết quãng đường ánh sáng đi được trong chân không trong 1 microsecond (1 µs = 10⁻⁶ s).",B,train_fix,A,A,B,B,B
577,Bộ tạo ẩm Thiết bị AirStart 10 được thiết kể cho mục đích gì?,D,train_fix,D,D,D,D,D
578,"Trong các công ty kiểm toán Big4, công nghệ AI tiêu biểu nào đã được áp dụng, và lợi ích thực tế mà nó mang lại là gì?",A,train_fix,A,A,"A,B,C,D",A,A
579,Công nghệ nào cho phép xử lý dữ liệu nhanh ngay tại nguồn phát sinh?,C,train_fix,C,C,C,C,C
580,"Đâu là tổ hợp biểu diễn một quy tắc có trạng thái điều kiện lần lượt là (đúng, đúng, tùy ý, sai)?",B,train_fix,B,B,B,B,B
581,"Nếu AI không được áp dụng trong giáo dục, điều gì có thể xảy ra với khả năng tiếp cận giáo dục của học sinh ở vùng sâu vùng xa?",B,train_fix,B,B,B,B,B
582,"Qua các phần hướng dẫn trong tài liệu, có thể rút ra nhận định tổng quan nào về quy trình sử dụng Tableau cơ bản?",B,train_fix,B,B,B,B,B
583,Loại CSDL nào quản lý bằng SQL với bảng hàng – cột?,B,train_fix,B,B,B,B,B
584,"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",B,train_fix,B,"A,B","A,B,D","A,B",A
585,LDR là viết tắt của gì trong xử lý ảnh?,A,train_fix,A,A,A,A,A
586,"Trong thuật toán BFS, mỗi trạng thái sinh ra b trạng thái kề. Từ nút gốc sẽ sinh ra b nút với độ sâu 1, các nút này lại sinh ra b2 nút với độ sâu 2,... Giả sử nút đích của bài toán nằm ở độ sâu d. Tổng số nút cần mở rộng để tìm ra nút đích là bao nhiêu?",A,train_fix,B,B,B,B,B
587,Điện toán không gian kết hợp những công nghệ nào để tạo trải nghiệm 3D thực?,B,train_fix,B,B,B,B,B
588,Công tắc đèn trên xe ô tô có công dụng gì?,A,train_fix,A,A,A,A,A
589,Logic bomb có thể được kích hoạt theo hai cơ chế nào và hậu quả chính khi kích hoạt là gì?,A,train_fix,A,A,A,A,A
590,Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,B,train_fix,B,B,B,B,B
591,Tiêu chuẩn TCVN 5574:2018 không áp dụng để thiết kế loại kết cấu nào sau đây?,C,train_fix,C,C,C,C,C
592,Nếu forget gate trong LSTM có giá trị bằng 0 thì điều gì xảy ra với thông tin lưu trữ trong cell state?,B,train_fix,B,B,B,B,B
593,Cung cấp tổng quan về Oracle Database dựa trên nội dung trong tài liệu Public_190.,A,train_fix,A,A,A,A,A
594,Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,C,train_fix,C,C,C,C,C
595,Lý do nào không phải thách thức dẫn đến việc đầu tư cao độ vào phát triển công cụ tìm lỗi và kiểm thử tự động?,C,train_fix,C,C,"A,C,D",A,A
596,"Theo tài liệu Public_045, đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor?",A,train_fix,A,A,"A,D",A,A
597,"Hãy xác định (i) tên 2 nhà mật mã học đã phát triển Rijndael – cơ sở của AES, và (ii) năm AES được NIST công nhận là chuẩn mã hóa dữ liệu.",B,train_fix,B,B,B,B,B
598,Thành phần phần cứng cốt lõi nào giúp hệ thống HPC tối ưu hóa xử lý song song?,C,train_fix,C,C,C,C,C
599,Nội dung nào không được đề cập trong tài liệu Public_059?,D,train_fix,D,D,D,D,D
600,Mục tiêu của mô hình trong kiểm thử dựa trên mô hình?,A,train_fix,"A,C,D",D,D,D,D
601,"Theo kết quả nghiên cứu, công cụ AV evasion nào báo cáo tỷ lệ vượt qua (evasion ratio) cao nhất (83%) trong thử nghiệm?",B,train_fix,B,B,B,B,B
602,Sự khác biệt giữa Feature Map và Activation Map là gì?,B,train_fix,B,B,B,B,B
603,"Khái niệm “tấn công” trong an toàn thông tin được hiểu là gì?
",C,train_fix,C,C,C,C,C
604,ISO 15189:2022 yêu cầu thiết lập và theo dõi những chỉ số chất lượng nào?,C,train_fix,C,C,C,C,C
605,Quá trình nào trong DNA đóng vai trò như cổng logic trong tính toán sinh học?,C,train_fix,C,C,"C,D",C,C
