Question,A,B,C,D,source_folder,num_answers
Thuật toán mật mã nào bắt buộc áp dụng cho chữ ký số theo quy định kỹ thuật trong Thông tư?,RSA với độ dài khóa tối thiểu 1024 bit và lược đồ RSASSA-PKCS1-v1_5,"RSA phiên bản 2.1 với lược đồ RSAES-OAEP để mã hóa và RSASSA-PSS để ký, độ dài khóa tối thiểu 2048 bit
",AES với độ dài khóa 128 bit cho ký số và SHA-1 cho hàm băm,DES và MD5 làm chuẩn mã hóa và băm trong hệ thống ký số,train_fix,1
"Nếu một ngày có tỷ lệ thu công nợ = 99.85%, hệ thống sẽ hiển thị đánh giá thế nào?",Đạt,Không đạt,Chờ duyệt,Lỗi dữ liệu,train_fix,1
"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).","Thành phần: RAN (gNodeB, Massive MIMO, beamforming), 5G Core (SBA, network slicing), Edge Computing (MEC); triển khai: khảo sát tần số, small cell, beamforming, container hóa; quản lý: QoS cho eMBB/URLLC/mMTC, bảo mật đa lớp, AI giám sát; network slicing tách mạng phục vụ từng dịch vụ; MEC giảm độ trễ <1 ms cho ứng dụng thời gian thực.","Thành phần: chỉ RAN và 5G Core, MEC chỉ dùng cho lưu trữ dữ liệu; network slicing chỉ để giảm chi phí năng lượng.","Triển khai chủ yếu dựa vào 4G nâng cấp, không cần MEC; network slicing dùng cho tăng băng thông chung, không tách dịch vụ.","Kiến trúc tập trung vào core, bỏ qua RAN và MEC; network slicing chỉ áp dụng cho IoT, không liên quan dịch vụ băng thông cao. TD070",train_fix,1
Giả định cơ bản nào được áp dụng trong kiểm thử giá trị biên?,Hàm kiểm thử phải là hàm toán học (song ánh),Tập xác định phải là tập số tự nhiên,Tập xác định/tập giá trị có biên/khu cận biên,Không cần giả định gì,train_fix,1
"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",CSDL NoSQL,CSDL hướng đối tượng,CSDL bán cấu trúc XML,CSDL quan hệ truyền thống,train_fix,1
Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,Loại “J” trần không bọc,Loại “N” bọc nhựa,"Loại “T”, “N”, “K”, “J” có vỏ bọc thép không gỉ cách nhiệt bằng sợi khoáng",Loại dây dẫn thường bọc nhựa PVC,train_fix,1
"Trong ứng dụng phân loại văn bản, hai vấn đề chủ yếu cần giải quyết khi sử dụng phân loại Naive Bayes là gì?",Số lượng từ trong văn bản và hàm chia,Cách biểu diễn văn bản và công thức,Bản quyền và tính open source,Định dạng văn bản đầu vào và xây dựng bộ dữ liệu,train_fix,1
Lợi ích cụ thể nào của bản vẽ hoàn công giúp nhà thầu kiểm soát hiệu quả sự khác biệt giữa thiết kế ban đầu và thực tế thi công của một dự án?,Tiết kiệm giấy in khi vẽ nhiều lần,"Hỗ trợ quản lý thay đổi, giúp so sánh bản vẽ thiết kế với thực tế để đảm bảo minh bạch và định hướng rõ ràng",Giúp tiết kiệm chi phí mua phần mềm CAD hiện đại,Giúp tăng tính thẩm mỹ cho báo cáo dự án,train_fix,1
Kỹ thuật nào cho phép robot học từ phản hồi môi trường để tối ưu hành động?,Học giám sát,Học tăng cường (Reinforcement Learning),Phân cụm K-means,Mạng nơ-ron hồi tiếp,train_fix,1
"Từ tài liệu Public_193, những kiến thức và kỹ năng nào là cần thiết cho một kỹ sư DevOps khi tập trung vào một giai đoạn cụ thể trong roadmap DevOps?","Giai đoạn đầu tiên: Learn a some CI/CD tool
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn đầu tiên: Learn a Programming Language
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn đầu tiên: tham gia code các function của sản phẩm phần mềm
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn sau cùng: làm việc như 1 Cloud Provider
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…",train_fix,1
"Nếu một công ty muốn phát triển ứng dụng thương mại điện tử đa nền tảng, yêu cầu giao diện đẹp mắt, tốc độ cao, và khả năng cập nhật nhanh khi thay đổi giao diện, vì sao họ nên chọn Dart + Flutter thay vì chỉ dùng JavaScript?","Vì Flutter bắt buộc phải dùng với Dart, không thể chạy trên iOS hoặc Web.",Vì Dart không cần Garbage Collection nên chạy mượt hơn JavaScript.,"Vì Dart hỗ trợ AOT và JIT giúp hiệu năng cao, đồng thời Flutter có Hot Reload và hệ thống widget linh hoạt để tối ưu giao diện.","Vì JavaScript không thể phát triển ứng dụng web, chỉ dùng được cho backend.",train_fix,1
Điểm khác biệt lớn nhất của pin thể rắn so với pin lithium-ion truyền thống là gì?,Dùng nhiều cell hơn,Sử dụng chất điện phân rắn thay cho dung dịch lỏng,Không dùng cực dương,Chỉ hoạt động dưới 0°C,train_fix,1
Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,Một,Hai,Bốn,Năm,train_fix,1
"Dựa vào quy định về tín chỉ được nêu trong tài liệu Public_263, nếu sinh viên đang chọn tổng 9 tín chỉ, cần thêm tối thiểu bao nhiêu tín chỉ để nút Lưu được bật?",30,24,18,36,train_fix,1
"Nếu một chuỗi có độ dài quá lớn gây ra vấn đề gradient vanish/explode, mô hình nào trong tài liệu Public_109 được thiết kế để giải quyết vấn đề này?",RNN thường,GRU,Naive Bayes,KNN,train_fix,1
"Trong báo cáo KPI công nợ COD, chỉ số tỷ lệ thu công nợ ngày được tính ra sao và ngưỡng bao nhiêu phần trăm thì được đánh giá “Đạt”?","Tính bằng (số ngày đạt KPI / số ngày kế hoạch) × 100%, ngưỡng ≥ 99,90%","Tính bằng (tổng số tiền thu đúng hạn / tổng số tiền phải thu) × 100%, ngưỡng ≥ 99,80%","Tính bằng (tổng tỷ lệ thu công nợ các ngày / số ngày tính KPI) × 100%, ngưỡng ≥ 99,85%","Tính bằng (tổng số tiền phải thu – số tiền chưa thu) / số ngày tính KPI, ngưỡng = 100%",train_fix,1
Hãy mô tả đầy đủ ba bước trong quá trình bắt tay TCP và ghép đúng từng gói tin với ý nghĩa của nó.,"[SYN]: Client yêu cầu kết nối; [SYN, ACK]: Server đồng ý và dự trữ tài nguyên; [ACK]: Client xác nhận, kết nối hoàn tất.","[SYN]: Client gửi dữ liệu; [SYN, ACK]: Server trả về HTTP 200; [ACK]: Client nhận trang web.","[SYN]: Server yêu cầu client; [SYN, ACK]: Client đồng ý; [ACK]: Server từ chối.","[SYN]: Client gửi GET; [SYN, ACK]: Server trả 504 Gateway Timeout; [ACK]: Client reset kết nối.",train_fix,1
"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",Quản lý sinh viên,Quản trị đại học số,Quản lý cơ sở vật chất,Quản lý tuyển sinh,train_fix,1
"Theo tài liệu Public_111, hai thành phần cơ bản của mạng Bayes là gì?",Đồ thị có hướng và ma trận vuông,Đồ thị vô hướng và vector 3 chiều,Đồ thị vô hướng và bảng xác suất,Đồ thị có hướng và bảng xác suất,train_fix,1
"Theo các nguồn mà Mitre trích dẫn trong tài liệu Public_274, Nhóm Sandworm bắt đầu hoạt động vào năm nào?",2007,2012,2009,2003,train_fix,1
Thách thức lớn của pin Li-S là gì?,Sự hình thành polysulfide gây suy giảm dung lượng,Giá nguyên liệu cao,Khó tái chế,Không chịu được nhiệt độ cao,train_fix,1
"Theo tài liệu, loại vi rút nào lây nhiễm vào cung khởi động (boot sector) của đĩa?


", File vi rút, Macro vi rút, Boot vi rút ,Email vi rút,train_fix,1
"Theo tài liệu Public_006, các nhiệm vụ và quyền hạn của các thiết chế quản trị đại học ở Việt Nam được quy định trong luật nào?",Luật Giáo dục 2015,Luật Giáo dục đại học sửa đổi số 34/2018,Luật Công nghệ thông tin 2016,Luật Khoa học và Công nghệ 2013,train_fix,1
Quá trình thực hiện một giao dịch dựa trên SET gồm mấy bước,5,6,7,8,train_fix,1
GraphQL được coi là một ngôn ngữ gì trong lĩnh vực phát triển API?,Ngôn ngữ lập trình hướng đối tượng để phát triển ứng dụng desktop,Ngôn ngữ đánh dấu (markup) dùng để thiết kế giao diện web,Ngôn ngữ truy vấn và thao tác dữ liệu mã nguồn mở cho API,Ngôn ngữ kịch bản (scripting) dùng để viết macro trong phần mềm văn phòng,train_fix,1
"Trong nghiên cứu này, phần mềm diệt virus nào được nhận xét là có hiệu năng tốt nhất trong việc phát hiện các kỹ thuật evasion (theo tác giả)?",Avast và AVG,Kaspersky và Bitdefender,Norton và McAfee,Windows Defender và Comodo,train_fix,1
"Phân tích nguyên lý hoạt động, nhiên liệu, ưu điểm và các công nghệ lò phản ứng nhiệt hạch, đồng thời nêu các thách thức kỹ thuật – kinh tế trong thương mại hóa.","Phản ứng Deuterium–Tritium >100 triệu °C, giam giữ từ trường (tokamak, stellarator) hoặc laser; nhiên liệu deuterium từ nước biển, tritium từ lithium; ưu điểm: sạch, không CO₂, ít phóng xạ, an toàn tự dừng; thách thức: giam giữ plasma, vật liệu chịu nhiệt, đạt breakeven kinh tế","Nhiệt hạch tương tự phân hạch, tạo nhiều chất thải phóng xạ","Chỉ cần nhiệt độ bằng lõi Mặt Trời, không cần từ trường","Chủ yếu tạo ra CO₂, không phù hợp năng lượng sạch",train_fix,1
"Nếu sau khi cấu hình tài khoản SIP Account trên Zoiper mà phần mềm không báo trạng thái online, bước hợp lý nhất cần làm là gì?",Cài lại toàn bộ hệ điều hành trên máy tính,"Kiểm tra lại 3 thông số quan trọng: User, Password và Sip Server",Thay đổi skin giao diện của Zoiper,Khởi động lại card âm thanh của máy tính,train_fix,1
"Theo tài liệu Public_059, đâu không phải là một hình thức giao diện giữa nhiều module?",Module A gọi hàm ở module B,Module A nằm trong module B,Module A gửi thông tin cho module B,Module A dùng chung bộ nhớ với module B,train_fix,1
"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",0.84,1.37,1.5,2.21,train_fix,1
Tóm tắt các nội dung chính của văn bản này,"Văn bản tập trung vào một loại kiểm thử hiệu năng là Stress Test
",Văn bản mô tả kiểm thử hiệu năng đo thời gian phản hồi,"Văn bản cho rằng kiểm thử hiệu năng chỉ cần thiết trong giai đoạn phát triển, không ảnh hưởng đến khi hệ thống vận hành thực tế.","Văn bản giải thích mục đích kiểm thử hiệu năng, các loại (Load, Stress, Soak, Spike), chỉ số đánh giá (thời gian phản hồi, thông lượng, độ ổn định, khả năng mở rộng) và vai trò trong việc đảm bảo hệ thống hoạt động ổn định khi triển khai. ",train_fix,1
Tại sao HPC cần thiết cho mô phỏng khí hậu toàn cầu?,Giảm chi phí điện năng,Xử lý lượng tính toán khổng lồ cho mô hình độ phân giải cao,Tạo ảnh vệ tinh,Đơn giản hóa bản đồ địa hình,train_fix,1
Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,N và M,N và D,D và M,D và N,train_fix,1
"Trong Git, hành động nào bắt buộc phải thực hiện trước Commit để thay đổi có thể được lưu trữ vào lịch sử dự án?",Checkout,Add vào Index (Staging Area),Merge vào nhánh chính,Fetch từ repository từ xa,train_fix,1
"Nếu một nhóm phát triển muốn xem xét thay đổi từ repository từ xa trước khi quyết định có nên hợp nhất chúng vào nhánh chính hay không, theo văn bản, họ nên sử dụng thao tác nào, và lý do?","Merge, vì hợp nhất thay đổi ngay vào nhánh chính giúp tránh xung đột","Fetch, vì chỉ tải thay đổi từ xa mà không làm thay đổi trạng thái hiện tại","Checkout, vì cho phép chuyển sang trạng thái của repository từ xa","Origin, vì là tên mặc định của repository từ xa nên cho phép xem thay đổi",train_fix,1
Thách thức chính cản trở thương mại hóa pin thể rắn là gì?,Thiếu nguồn lithium toàn cầu,Nhu cầu thị trường thấp,Sạc chậm,Chi phí sản xuất và khó khăn giao diện điện cực – điện phân,train_fix,1
Khái quát các trường hợp sử dụng của MongoDB,Tùy tình huống mà sử dụng MongoDB,"- Tích hợp một lượng nhỏ dữ liệu
- Mô tả các cấu trúc dữ liệu đơn giản
- Cung cấp dữ liệu cho các ứng dụng hiệu suất thấp
- Hỗ trợ phương pháp phát triển Waterfall",MongoDB giúp các tổ chức lưu trữ lượngrất nhỏ dữ liệu trong khi vẫn hoạt động chậm chạp,"- Tích hợp một lượng lớn dữ liệu đa dạng
- Mô tả các cấu trúc dữ liệu phức tạp, biến hoá
- Cung cấp dữ liệu cho các ứng dụng hiệu suất cao
- Hỗ trợ các ứng dụng đám mây lai và đa đám mây
- Hỗ trợ phương pháp phát triển Agile",train_fix,1
"Theo tài liệu Public_174, trong các bước ETL, hoạt động nào chịu trách nhiệm làm sạch, chống trùng lặp và chuẩn hóa dữ liệu?",Trích xuất dữ liệu,Chuyển đổi dữ liệu,Tải dữ liệu,Ảo hóa dữ liệu,train_fix,1
"Theo tiêu chuẩn trong tài liệu Public_007, “khiếu nại” được định nghĩa như thế nào?",Ý kiến góp ý tích cực về hoạt động xét nghiệm,Thắc mắc của cơ quan quản lý,"Sự không hài lòng của cá nhân/tổ chức liên quan đến hoạt động hoặc kết quả xét nghiệm, nơi dự kiến có phản hồi",Báo cáo sự cố thiết bị,train_fix,1
"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",24 phép đo,50 phép đo,88 phép đo,100 phép đo,train_fix,1
"Nếu ảnh gốc có 3 kênh RGB với giá trị tại 1 điểm ảnh lần lượt là (120, 90, 60), thì giá trị Intensity Map theo định nghĩa trong HVI là bao nhiêu?",120,90,60,270,train_fix,1
"Theo tài liệu Public_194, MongoDB là gì?",MongoDB là một phần mềm mã nguồn đóng dùng để quản trị cơ sở dữ liệu NoSQL.,MongoDB là một phần mềm mã nguồn mở dùng để quản trị cơ sở dữ liệu NoSQL.,MongoDB là một ngôn ngữ lập trình hướng đối tượng phổ biến,MongoDB là một phương pháp phát triển phần mềm,train_fix,1
Tập S biểu diễn các mẫu hành vi hoặc đặc tính động lực học như thế nào?,Được nêu trong đặc tả,Được bao hàm trong mã nguồn,Được đem ra kiểm nghiệm,Mọi hành vi có thể,train_fix,1
"Trong giai đoạn tiền xử lý dữ liệu hình ảnh cho hệ thống thị giác máy tính, kỹ thuật nào giúp giảm nhiễu và tăng độ tương phản?",Resize ảnh,Oversampling,Histogram equalization,Tăng batch size,train_fix,1
"Từ tài liệu Public_081, những ứng dụng nào là điểm mạnh của GNN trong khoa học vật liệu?",Tìm kiếm từ khóa tài liệu,Phân tích tín hiệu âm thanh,Dự đoán tính chất điện và cơ học của hợp chất mới,Tạo văn bản mô tả,train_fix,1
"Dựa trên tài liệu `Public_251`, khi một tổ chức đang sử dụng hệ thống tường lửa (firewall) và CDN (Content Delivery Network) phát hiện có một cuộc tấn công DDoS nhắm vào server với lưu lượng gói tin ACK tăng đột biến mà tường lửa không thể lọc bỏ hoàn toàn, nguyên nhân chính là gì và cách giải quyết hiệu quả nhất là gì?","Nguyên nhân là do firewall chỉ lọc được lưu lượng TCP, cách giải quyết là chuyển sang sử dụng hệ thống lọc UDP.","Nguyên nhân là do gói ACK từ cuộc tấn công có chứa payload, cách giải quyết là cập nhật firmware cho firewall.","Nguyên nhân là do các gói ACK giả mạo gần giống gói tin hợp lệ, cách giải quyết hiệu quả nhất là kết hợp sử dụng hệ thống IPS hoặc dịch vụ chống DDoS chuyên dụng để phân tích sâu hơn.","Nguyên nhân là do CDN không có khả năng chống DDoS, cách giải quyết là thay thế CDN bằng một hệ thống bảo mật khác.",train_fix,1
"Theo bài báo, (1) phạm vi evasion ratios của các công cụ được khảo sát là bao nhiêu, và (2) công cụ nào ghi nhận tỷ lệ evasion 0% trong thí nghiệm?",0%–83%; Veil 3.0 và Shellter.,40%–60%; Avet và PeCloak.py.,0%–100%; Fat Rat.,10%–90%; PeCloak.py và Veil 3.0.,train_fix,1
"Dựa vào tài liệu Public_166, hãy xác định ưu điểm chính và nhược điểm nổi bật của phương pháp không chính thức được đề cập.",Ưu điểm: Thực hiện toàn diện; Nhược điểm: Mất nhiều chi phí,"Ưu điểm: Không yêu cầu kỹ năng bổ sung, chi phí thấp; Nhược điểm: Không toàn diện, phụ thuộc quan điểm cá nhân ", Ưu điểm: Xem xét chi tiết các rủi ro; Nhược điểm: Dễ gây chậm trễ xử lý,Ưu điểm: Triển khai nhanh trên nhiều hệ thống; Nhược điểm: Không phù hợp quy mô lớn,train_fix,1
Đâu không phải một yếu tố giúp xác định lát cắt được đề cập trong tài liệu Public_065?,Chương trình P,Tập biến V,Thời điểm n,Hằng X,train_fix,1
"Trong chiến dịch năm 2016, đối thủ bị quan sát thấy đã sử dụng một tập lệnh VBS trong quá trình hoạt động. Tên của tệp VBS đó là gì?",autorun.vbs,update.vbs,ufn.vbs,helper.vbs,train_fix,1
"Trong quy trình khai báo mã KH COD hàng ngày, khi khách hàng chưa xác thực OTP, hệ thống xử lý yêu cầu ra sao và trạng thái thay đổi thế nào nếu sau 72 giờ vẫn chưa xác thực?","Hệ thống vẫn cho phép tạo kỳ thanh toán, trạng thái giữ nguyên “Chờ xác thực”","Hệ thống không tạo kỳ thanh toán, yêu cầu giữ trạng thái “Chờ xác thực”, sau 72 giờ tự động chuyển “Xác thực thất bại”","Hệ thống cho phép khách hàng nhập lại OTP sau 72 giờ, trạng thái vẫn “Chờ xác thực”",Hệ thống tự động hủy yêu cầu ngay lập tức khi quá 72 giờ mà chưa xác thực,train_fix,1
Cấu hình hạ tầng mạng nào cần thiết để đảm bảo độ trễ thấp và băng thông cao cho trải nghiệm thực tế ảo (VR) mượt mà?,"5G/6G băng thông cao, độ trễ thấp",Wi-Fi 4,Ethernet 10Mbps,Bluetooth,train_fix,1
"Dựa trên thông tin về quantum supremacy của Google và IBM trong tài liệu `Public_199`, nếu một công ty khác tuyên bố có 130 qubit, số qubit này gấp bao nhiêu lần số qubit của Google và hơn số qubit của IBM bao nhiêu?","Gấp ~2,4 lần Google và hơn IBM 65 qubit.",Gấp 2 lần Google và hơn IBM 54 qubit.,"Gấp 1,5 lần Google và hơn IBM 30 qubit.",Gấp 3 lần Google và hơn IBM 80 qubit.,train_fix,1
Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,"Là vật liệu như silicon, germanium có rất ít electron tự do; doping làm thay đổi độ dẫn điện bằng cách tạo thêm electron hoặc lỗ trống",Là chất cách điện hoàn toàn; doping làm nó thành chất siêu dẫn,Là vật liệu chỉ có lỗ trống; doping làm giảm điện trở về 0,Là vật liệu dẫn điện mạnh; doping làm tăng độ bền cơ học,train_fix,1
Tổng quan về SQL Server trong tài liệu Public_186," SQL Server hay Microsoft SQL Server là một hệ thống quản trị cơ sở dữ liệu quan hệ (Relational Database Management System – RDBMS) được thiết kế để quản lý và lưu trữ dữ liệu, SQL Server cho phép người dùng truy vấn, thao tác và quản lý dữ liệu một cách hiệu quả và an toàn. SQL Server là một trong những hệ quản trị cơ sở dữ liệu phổ biến nhất trên thế giới và được sử dụng rộng rãi trong các doanh nghiệp.
"," SQL Server hay Microsoft SQL Server là một hệ thống quản trị nhân sự được thiết kế để quản lý và lưu trữ dữ liệu về nhân sự.
"," SQL Server hay Microsoft SQL Server là một hệ thống quản trị cơ sở dữ liệu quan hệ (Relational Database Management System – RDBMS) được thiết kế để quản lý và lưu trữ dữ liệu, SQL Server cho phép người dùng lập trình, thiết kế, thay đổi dữ liệu một cách thoải mái, không cần cấp quyền 
","Chỉ là một ứng dụng cá nhân, không phổ biến",train_fix,1
"Trong tài liệu Public_120, cho điểm X1 = (5, 2, 4); X2 = (3, 8, 1). Tính khoảng cách Euclidean của chúng dựa trên công thức trong phần MLkNN.",7,6,8,10,train_fix,1
"Trong lĩnh vực kiến trúc và xây dựng, blueprint được hiểu là bản thiết kế công trình, và trong lĩnh vực công nghệ thông tin, blueprint thường được sử dụng để mô tả điều gì?",Bản kế hoạch bảo trì hệ thống và chiến lược kinh doanh dài hạn,Bản thiết kế chi tiết phần cứng và sơ đồ kiến trúc hệ thống hoặc kế hoạch triển khai phần mềm,Hướng dẫn sử dụng thiết bị và báo cáo kết quả dự án,Bản vẽ tay phác thảo ý tưởng và nhật ký vận hành phần mềm,train_fix,1
Tóm tắt Kubectl trên Windows,"
'- Thêm hoặc thêm thư mục nhị phân kubectl vào biến môi trường PATH của bạn
- Kiểm tra để đảm bảo phiên bản kubectl giống với phiên bản đã tải xuống
- Cài đặt Kubectl binary trên Windows (thông qua tải xuống trực tiếp hoặc curl)
- Xác thực tệp nhị phân (tùy chọn)","- Cài đặt Kubectl binary trên Windows (thông qua tải xuống trực tiếp hoặc curl)
- Xác thực tệp nhị phân (tùy chọn)
- Thêm hoặc thêm thư mục nhị phân kubectl vào biến môi trường PATH của bạn
- Kiểm tra để đảm bảo phiên bản kubectl giống với phiên bản đã tải xuống"," Cài đặt Kubectl binary trên Windows (thông qua tải xuống trực tiếp hoặc curl)
- Xác thực tệp nhị phân (tùy chọn)","- Kiểm tra để đảm bảo phiên bản kubectl giống với phiên bản đã tải xuống
- Cài đặt Kubectl binary trên Windows (thông qua tải xuống trực tiếp hoặc curl)
- Xác thực tệp nhị phân (tùy chọn)
- Thêm hoặc thêm thư mục nhị phân kubectl vào biến môi trường PATH của bạn
",train_fix,1
"Nếu một dầm dây dẫn có dòng điện 2000 mA chạy qua, giá trị này tương ứng với bao nhiêu ampe?","0,2 A","0,02 A",2 A,20 A,train_fix,1
Đặc điểm đặc biệt của thuộc tính được chọn C(max) trong Naive Bayes theo Public_112 là gì?,Có xác suất điều kiện cao nhất,Độc lập hoàn toàn với các xác suất còn lại,Gắn chặt với đặc điểm nhận dạng ban đầu,Giá trị đặc trưng của dữ liệu huấn luyện,train_fix,1
"Theo tài liệu, chuỗi giá trị băm đầu ra của MD5 có kích thước bao nhiêu bit?


",128 bit ,160 bit,"
256 bit", 512 bit,train_fix,1
"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",Lưu trữ dữ liệu trên máy chủ,Kết nối Internet và quản lý thiết bị từ xa,Cung cấp dịch vụ phân tích dữ liệu lớn,Thay thế hoàn toàn điện toán đám mây,train_fix,1
RPA (Robotic Process Automation) khác với AI ở điểm nào?,"RPA hướng theo quy trình dựa trên quy tắc, còn AI hướng dữ liệu và học mẫu từ dữ liệu","RPA chỉ hoạt động trong lĩnh vực sản xuất, còn AI chỉ hoạt động trong tài chính.","RPA xử lý dữ liệu định tính, còn AI xử lý dữ liệu định lượng.","RPA thay thế hoàn toàn lao động con người, còn AI chỉ mang tính hỗ trợ.",train_fix,1
CIDNet sử dụng kiến trúc mạng nào để xử lý ảnh ánh sáng yếu?,ResNet một nhánh,UNet hai nhánh (HV-branch và Intensity-branch),Transformer đa đầu,CNN thuần túy một tầng,train_fix,1
Kỹ năng mềm quan trọng nào kiến trúc sư đám mây cần có để truyền đạt các khái niệm kỹ thuật phức tạp?,Kỹ năng đàm phán hợp đồng pháp lý,Kỹ năng giao tiếp hiệu quả với cả bên kỹ thuật và phi kỹ thuật,Kỹ năng viết báo cáo tài chính,Kỹ năng thiết kế đồ họa,train_fix,1
Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,Giảm rủi ro và chi phí thử nghiệm thực tế,Tăng tốc độ phần cứng,Giảm nhu cầu cảm biến,Loại bỏ hoàn toàn nhu cầu dữ liệu,train_fix,1
Ba thuộc tính cốt lõi cần bảo vệ trong an toàn thông tin là gì?,"Bảo mật, Toàn vẹn, Sẵn dùng","Tính đúng giờ, Tính mở rộng, Tính khả thi","Tính ổn định, Tính đơn giản, Tính lâu dài","Bảo mật, Chia sẻ, Khả năng mở rộng",train_fix,1
Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,O(n),O(n^2),O(n^2 + n),O(n x n^2),train_fix,1
Thách thức chính trong việc triển khai AI quản lý năng lượng tái tạo là gì?,Bảo mật dữ liệu và biến động thời tiết khó dự báo,Thiếu cảm biến IoT,Giá năng lượng giảm,Không cần lưu trữ,train_fix,1
Đoạn code ngắn sau định nghĩa giao diện hàm (function interface) như thế nào?,Procedure call,Shared memory,Message passing,Inheritance,train_fix,1
Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,ASCII,Unicode,TCVN 6909,UTF-16,train_fix,1
Khi mô tả hệ thống bằng ngôn ngữ tự nhiên thì ta cần thực hiện bao nhiêu bước,3,4,5,6,train_fix,1
"Trong hệ thống quản lý hạn mức, hạn mức áp dụng của một tuyến bưu tá được xác định theo nguyên tắc nào, và khi giá trị phân bổ thêm vượt ngưỡng thì hệ thống xử lý ra sao?",Bằng hạn mức cố định + hạn mức phân bổ thêm; nếu vượt ngưỡng 25% thì hệ thống vẫn cho nhập nhưng cảnh báo,Bằng hạn mức cố định + hạn mức phân bổ thêm hoặc hạn mức đề xuất thêm; nếu vượt ngưỡng 25% thì ô nhập bị khóa (disable),Bằng hạn mức phân bổ thêm – hạn mức cố định; nếu vượt ngưỡng 20% thì tự động reset về 0,Bằng hạn mức cố định hoặc hạn mức phân bổ thêm; nếu vượt ngưỡng 30% thì gửi cảnh báo Noti,train_fix,1
"Trong tài liệu Public_036, đâu không phải một ứng dụng của Image segmentation được đề cập?",Xe tự hành,Chẩn đoán hình ảnh,Nhận diện chó mèo,Quản lý ra vào ở bãi đỗ xe,train_fix,1
"Thuật toán nào được sử dụng cho: (1) Tính xác suất chuỗi quan sát, (2) Tìm chuỗi trạng thái tối ưu?",Forward cho cả (1) và (2),"Backward cho (1), EM cho (2)","Baum-Welch cho (1), Forward cho (2)","Forward/Backward cho (1), Viterbi cho (2)",train_fix,1
Đâu là cốt lõi của thuật toán đệ quy?,Bài toán lớn được chia thành các bài toán nhỏ lồng nhau,Bài toán lớn có lời giải đóng,Bài toán lớn được chia thành các bài toán nhỏ có cùng dạng,Bài toán không thể giải trong thời gian đa thức,train_fix,1
ISO 15189:2022 áp dụng cho đối tượng nào?,Các công ty công nghệ thông tin,Phòng xét nghiệm y tế,Bệnh viện tư nhân,Nhà sản xuất thiết bị y tế,train_fix,1
"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",0.05,0.08,0.1,0.12,train_fix,1
Điện trở loại than ép có nhược điểm chính nào?,Giá thành cao,Dễ thay đổi trị số khi nhiệt độ thay đổi,Ít chịu được xung điện áp,Có kích thước lớn,train_fix,1
Ứng dụng nào tận dụng siêu tụ để thu hồi năng lượng phanh?,Tàu điện và metro,Đèn LED,Máy tính xách tay,Quạt điện,train_fix,1
Thách thức quan trọng nhất trong sản xuất chip quang?,Đòi hỏi công nghệ in nano chính xác và chi phí cao,Thiếu vật liệu dẫn điện,Không thể hoạt động trên silicon,Nhiệt lượng quá lớn,train_fix,1
Nghiệm w tối ưu (Fisher) có thể chọn tỉ lệ theo biểu thức nào?,w ∝ S_W (m_1 − m_2),w ∝ S_B (m_1 − m_2),w ∝ S_W^{-1} (m_1 − m_2),w ∝ S_W^{-1} (m_1 − m_2),train_fix,1
Logistic regression có đầu ra là gì?,Giá trị thực,Giá trị nhị phân,Giá trị nguyên dương,Giá trị phức,train_fix,1
